DateTime,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,DEALNUM,CHG,PCT_CHG,SWING
2018/3/13,3326.6992,3324.1215,3333.8754,3307.3764,3310.2389,17711435300,2.02375E+11,NaN,-16.4603,-0.494794,0.796555
2018/3/14,3310.2389,3298.6655,3304.9787,3287.3558,3291.3819,15749108500,1.83458E+11,NaN,-18.857,-0.569657,0.532375
2018/3/15,3291.3819,3277.5143,3297.0981,3273.2008,3291.112,14857360600,1.79517E+11,NaN,-0.2699,-0.0082,0.726057
2018/3/16,3291.112,3290.209,3300.5654,3269.2826,3269.8821,14120364700,1.67762E+11,NaN,-21.2299,-0.645068,0.950524
2018/3/19,3269.8821,3264.9281,3280.5673,3251.0471,3279.2517,13795498000,1.69772E+11,NaN,9.3696,0.286542,0.902791
2018/3/20,3279.2517,3257.2188,3292.5742,3252.4333,3290.6399,13988108100,1.6698E+11,NaN,11.3882,0.34728,1.224087
2018/3/21,3290.6399,3299.731,3314.209,3268.8779,3280.9521,16839827700,2.08618E+11,NaN,-9.6878,-0.294405,1.377577
2018/3/22,3280.9521,3281.265,3288.7967,3242.7619,3263.4803,15043297700,1.84472E+11,NaN,-17.4718,-0.532522,1.403093
2018/3/23,3263.4803,3172.772,3188.2351,3110.6637,3152.7608,27553201300,2.93405E+11,NaN,-110.7195,-3.392682,2.376953
2018/3/26,3152.7608,3117.3192,3134.2759,3091.4575,3133.7218,18636635000,2.1591E+11,NaN,-19.039,-0.603883,1.358124
2018/3/27,3133.7218,3164.7976,3172.7777,3143.5695,3166.6488,18907338300,2.27085E+11,NaN,32.927,1.050731,0.932061
2018/3/28,3166.6488,3130.5711,3165.2126,3117.5336,3122.2895,16350048800,2.08618E+11,NaN,-44.3593,-1.400828,1.505661
2018/3/29,3122.2895,3127.2628,3174.5089,3098.2465,3160.5306,17031238400,2.1092E+11,NaN,38.2411,1.224778,2.442515
2018/3/30,3160.5306,3161.7856,3177.7208,3152.8888,3168.8966,15464659600,1.96007E+11,NaN,8.366,0.264702,0.785691
2018/4/2,3168.8966,3169.7787,3192.3403,3159.986,3163.179,17772777700,2.26254E+11,NaN,-5.7176,-0.180429,1.020996
2018/4/3,3163.179,3130.013,3144.3321,3119.1321,3136.6332,15221667400,1.89693E+11,NaN,-26.5458,-0.839213,0.796667
2018/4/4,3136.6332,3147.0491,3163.3404,3128.8668,3131.1114,14697668200,1.93493E+11,NaN,-5.5218,-0.176042,1.099064
2018/4/9,3131.1114,3125.4415,3146.0926,3110.3025,3138.2936,13960862100,1.77237E+11,NaN,7.1822,0.229382,1.143048
2018/4/10,3138.2936,3144.2568,3190.6492,3139.0807,3190.3216,16820135900,2.06087E+11,NaN,52.028,1.657844,1.643202
2018/4/11,3190.3216,3197.3719,3220.8453,3191.5865,3208.0818,17586719700,2.1142E+11,NaN,17.7602,0.55669,0.917111
2018/4/12,3208.0818,3203.2782,3205.2522,3177.0492,3180.1583,14823131300,1.8504E+11,NaN,-27.9235,-0.870411,0.879123
2018/4/13,3180.1583,3192.0418,3197.8959,3155.5058,3159.0521,12755231000,1.63652E+11,NaN,-21.1062,-0.663684,1.332956
2018/4/16,3159.0521,3152.8882,3153.1063,3096.1003,3110.6489,15441569500,1.92233E+11,NaN,-48.4032,-1.532206,1.804529
2018/4/17,3110.6489,3112.9747,3118.7596,3064.0281,3066.7967,14722284600,1.85428E+11,NaN,-43.8522,-1.409744,1.759488
2018/4/18,3066.7967,3091.9095,3096.889,3041.625,3091.3987,15929050300,2.02239E+11,NaN,24.602,0.802205,1.802011
2018/4/19,3091.3987,3094.2738,3127.4389,3090.2867,3117.376,16005680500,1.96199E+11,NaN,25.9773,0.840309,1.201793
2018/4/20,3117.376,3105.4617,3111.1707,3065.9214,3071.5425,15514709100,1.85139E+11,NaN,-45.8335,-1.470259,1.451519
2018/4/23,3071.5425,3063.4427,3085.0573,3045.9369,3068.012,13168634000,1.57855E+11,NaN,-3.5305,-0.114942,1.27364
2018/4/24,3068.012,3069.7455,3136.0395,3069.7455,3128.9271,16227480600,1.95545E+11,NaN,60.9151,1.985491,2.160813
2018/4/25,3128.9271,3112.3978,3122.9082,3107.0008,3117.9739,12731105300,1.61298E+11,NaN,-10.9532,-0.350062,0.508398
2018/4/26,3117.9739,3119.4962,3121.9334,3067.9286,3075.0301,13397273600,1.63784E+11,NaN,-42.9438,-1.377298,1.732048
2018/4/27,3075.0301,3082.4148,3088.0347,3049.9139,3082.2316,13122564300,1.7952E+11,NaN,7.2015,0.234193,1.239689
2018/5/2,3082.2316,3087.4086,3097.6039,3064.763,3081.1773,13418456600,1.68246E+11,NaN,-1.0543,-0.034206,1.065491
2018/5/3,3081.1773,3074.5165,3105.6598,3056.1573,3100.8586,13998562000,1.73445E+11,NaN,19.6813,0.638759,1.60661
2018/5/4,3100.8586,3093.1169,3104.0925,3086.7845,3091.0334,11871126500,1.48436E+11,NaN,-9.8252,-0.316854,0.558168
2018/5/7,3091.0334,3094.8989,3136.8363,3091.6579,3136.6448,13894818600,1.78244E+11,NaN,45.6114,1.475604,1.461595
2018/5/8,3136.6448,3135.2957,3169.7014,3134.0621,3161.4976,14692706100,1.89012E+11,NaN,24.8528,0.792337,1.136224
2018/5/9,3161.4976,3160.1382,3165.3733,3145.6574,3159.1502,12263726800,1.53456E+11,NaN,-2.3474,-0.07425,0.623625
2018/5/10,3159.1502,3169.0498,3176.1376,3155.5331,3174.4127,13300075600,1.6544E+11,NaN,15.2625,0.48312,0.652217
2018/5/11,3174.4127,3179.7967,3180.7564,3162.2121,3163.2632,13065974900,1.67364E+11,NaN,-11.1495,-0.35123,0.584181
2018/5/14,3163.2632,3167.0418,3183.8159,3163.476,3174.032,12932735300,1.72411E+11,NaN,10.7688,0.340433,0.643004
2018/5/15,3174.032,3180.4245,3192.8069,3164.5181,3192.1183,12454905100,1.62991E+11,NaN,18.0863,0.569821,0.891258
2018/5/16,3192.1183,3180.2259,3191.9481,3166.8113,3169.5652,13052496800,1.74591E+11,NaN,-22.5531,-0.706525,0.787465
2018/5/17,3169.5652,3170.0064,3172.7664,3148.6213,3154.2825,11399556700,1.50599E+11,NaN,-15.2827,-0.48217,0.76178
2018/5/18,3154.2825,3151.0818,3193.4531,3144.776,3193.3034,13651691800,1.68038E+11,NaN,39.0209,1.237077,1.543207
2018/5/21,3193.3034,3206.1756,3219.7398,3203.3362,3213.8404,16445941300,2.02663E+11,NaN,20.537,0.643127,0.513687
2018/5/22,3213.8404,3211.247,3214.5888,3192.2277,3214.3497,14429268400,1.85722E+11,NaN,0.5093,0.015847,0.695775
2018/5/23,3214.3497,3205.437,3205.437,3168.9642,3168.9642,15780764800,1.99358E+11,NaN,-45.3855,-1.411965,1.134687
2018/5/24,3168.9642,3167.9391,3173.5309,3152.0692,3154.6506,12408580000,1.60658E+11,NaN,-14.3136,-0.451681,0.677247
2018/5/25,3154.6506,3148.41,3156.7261,3131.0675,3141.3032,12861084300,1.66554E+11,NaN,-13.3474,-0.423102,0.813358
2018/5/28,3141.3032,3136.8092,3149.6646,3115.9585,3135.0821,12875591800,1.68191E+11,NaN,-6.2211,-0.198042,1.072997
2018/5/29,3135.0821,3129.621,3143.2076,3112.1531,3120.4605,13571780000,1.77826E+11,NaN,-14.6216,-0.466387,0.990548
2018/5/30,3120.4605,3081.1418,3085.397,3041.0002,3041.4434,15511512600,1.91995E+11,NaN,-79.0171,-2.532226,1.422764
2018/5/31,3041.4434,3061.8291,3098.0764,3054.2685,3095.4737,14047553200,1.85199E+11,NaN,54.0303,1.776469,1.440365
2018/6/1,3095.4737,3084.7536,3102.088,3059.7857,3075.1372,12987219900,1.66549E+11,NaN,-20.3365,-0.656975,1.366586
2018/6/4,3075.1372,3083.4265,3098.402,3076.9936,3091.1909,11459390200,1.54672E+11,NaN,16.0537,0.522048,0.696177
2018/6/5,3091.1909,3088.0076,3114.7687,3080.0457,3114.2055,11873559200,1.64806E+11,NaN,23.0146,0.744522,1.123289
2018/6/6,3114.2055,3109.1746,3117.5251,3103.5329,3115.1803,12019613500,1.6288E+11,NaN,0.9748,0.031302,0.449302
2018/6/7,3115.1803,3121.1842,3128.7154,3105.5779,3109.4988,12778497000,1.67174E+11,NaN,-5.6815,-0.182381,0.742734
2018/6/8,3109.4988,3100.6038,3100.6848,3053.2879,3067.1478,13468822000,1.61179E+11,NaN,-42.351,-1.361988,1.524262
2018/6/11,3067.1478,3057.3393,3063.6102,3037.9138,3052.7831,10856378600,1.43037E+11,NaN,-14.3647,-0.468341,0.837795
2018/6/12,3052.7831,3053.0279,3081.4473,3034.1012,3079.8018,11327509600,1.54469E+11,NaN,27.0187,0.885051,1.550916
2018/6/13,3079.8018,3071.4636,3071.4636,3044.1198,3049.7965,11960788600,1.55935E+11,NaN,-30.0053,-0.974261,0.887843
2018/6/14,3049.7965,3038.0704,3066.0469,3032.4062,3044.1597,11546948700,1.47589E+11,NaN,-5.6368,-0.184825,1.103047
2018/6/15,3044.1597,3037.4522,3048.7967,3008.7324,3021.9008,14453257100,1.62196E+11,NaN,-22.2589,-0.7312,1.316104
2018/6/19,3021.9008,2982.6504,2984.9706,2871.3548,2907.8221,23055006700,2.41204E+11,NaN,-114.0787,-3.775064,3.759746
2018/6/20,2907.8221,2889.984,2925.5611,2872.1629,2915.7314,14430142000,1.53334E+11,NaN,7.9093,0.272001,1.836364
2018/6/21,2915.7314,2912.0032,2940.5863,2872.6189,2875.8099,15437833200,1.59713E+11,NaN,-39.9215,-1.369176,2.331058
2018/6/22,2875.8099,2855.5849,2891.9685,2837.1444,2889.7603,12614312900,1.27161E+11,NaN,13.9504,0.485095,1.906388
2018/6/25,2889.7603,2903.4495,2908.624,2857.8709,2859.3364,12191768700,1.3235E+11,NaN,-30.4239,-1.052817,1.756308
2018/6/26,2859.3364,2829.9947,2850.24,2803.7851,2844.5081,12591846800,1.38447E+11,NaN,-14.8283,-0.518592,1.624674
2018/6/27,2844.5081,2842.3958,2854.2579,2798.7997,2813.1775,12942083300,1.42413E+11,NaN,-31.3306,-1.101442,1.949659
2018/6/28,2813.1775,2799.9039,2825.9872,2782.4464,2786.8966,11835790700,1.29687E+11,NaN,-26.2809,-0.934207,1.547744
2018/6/29,2786.8966,2789.8111,2848.3721,2782.3811,2847.4181,12567168500,1.35652E+11,NaN,60.5215,2.171645,2.367903
2018/7/2,2847.4181,2841.5795,2845.6801,2756.815,2775.557,13703503400,1.47563E+11,NaN,-71.8611,-2.523728,3.120901
2018/7/3,2775.557,2774.5701,2786.8878,2722.4485,2786.8878,14249846600,1.61668E+11,NaN,11.3308,0.408235,2.321671
2018/7/4,2786.8878,2776.6324,2793.179,2754.1552,2759.126,12326218100,1.31016E+11,NaN,-27.7618,-0.996158,1.400264
2018/7/5,2759.126,2755.3394,2777.5227,2727.9399,2733.8819,12922611200,1.32994E+11,NaN,-25.2441,-0.914931,1.797047
2018/7/6,2733.8819,2731.3532,2768.8737,2691.0208,2747.2285,13629438000,1.48193E+11,NaN,13.3466,0.488192,2.847705
2018/7/9,2747.2285,2752.4466,2815.79,2752.4466,2815.1095,12154930900,1.35655E+11,NaN,67.881,2.47089,2.30572
2018/7/10,2815.1095,2819.7121,2828.4926,2800.6251,2827.6252,11706274800,1.32633E+11,NaN,12.5157,0.44459,0.989926
2018/7/11,2827.6252,2780.7043,2794.3596,2752.435,2777.7711,12682114900,1.38318E+11,NaN,-49.8541,-1.763108,1.482679
2018/7/12,2777.7711,2771.0408,2844.1932,2771.0408,2837.6586,14698020000,1.70319E+11,NaN,59.8875,2.155955,2.633493
2018/7/13,2837.6586,2831.4284,2835.4627,2818.8484,2831.1837,11768934800,1.46301E+11,NaN,-6.4749,-0.228178,0.585493
2018/7/16,2831.1837,2827.0823,2837.5092,2804.4929,2814.0418,10776715100,1.29411E+11,NaN,-17.1419,-0.605468,1.166166
2018/7/17,2814.0418,2806.8853,2806.9194,2774.7624,2798.1259,10540922000,1.24035E+11,NaN,-15.9159,-0.565589,1.142734
2018/7/18,2798.1259,2801.7774,2818.3953,2786.0404,2787.257,12096116500,1.38557E+11,NaN,-10.8689,-0.388435,1.156306
2018/7/19,2787.257,2791.0156,2805.0106,2764.4858,2772.5454,11448649300,1.29375E+11,NaN,-14.7116,-0.527816,1.453931
2018/7/20,2772.5454,2769.7537,2837.8623,2753.8397,2829.2712,14590768800,1.55661E+11,NaN,56.7258,2.045983,3.030522
2018/7/23,2829.2712,2815.2008,2863.5711,2809.6163,2859.5424,17338279700,1.86997E+11,NaN,30.2712,1.069929,1.907021
2018/7/24,2859.5424,2862.267,2911.4646,2862.267,2905.5618,22957830700,2.28702E+11,NaN,46.0194,1.609327,1.720471
2018/7/25,2905.5618,2911.4529,2912.3134,2894.039,2903.6467,16780020700,1.66412E+11,NaN,-1.9151,-0.065912,0.628945
2018/7/26,2903.6467,2905.7941,2915.2974,2875.7006,2882.2254,16842820200,1.57497E+11,NaN,-21.4213,-0.737738,1.363692
2018/7/27,2882.2254,2879.6901,2889.6936,2864.1098,2873.5938,14637161000,1.32419E+11,NaN,-8.6316,-0.299477,0.887641
2018/7/30,2873.5938,2871.9397,2896.0109,2850.296,2869.0495,15165224900,1.45989E+11,NaN,-4.5443,-0.15814,1.590862
2018/7/31,2869.0495,2866.8985,2884.6799,2854.3197,2876.4009,11893111700,1.19529E+11,NaN,7.3514,0.256231,1.058197
2018/8/1,2876.4009,2882.5061,2897.3997,2823.9293,2824.5337,14951434800,1.51693E+11,NaN,-51.8672,-1.803198,2.554248
2018/8/2,2824.5337,2815.3438,2815.3438,2726.4825,2768.0239,17417900300,1.69769E+11,NaN,-56.5098,-2.000677,3.146052
2018/8/3,2768.0239,2763.3957,2777.6572,2740.4317,2740.4429,12700636300,1.29135E+11,NaN,-27.581,-0.996415,1.34484
2018/8/6,2740.4429,2736.5256,2760.4744,2692.3216,2705.1565,12975305800,1.32994E+11,NaN,-35.2864,-1.287617,2.486926
2018/8/7,2705.1565,2711.7361,2779.374,2696.0391,2779.374,14957974300,1.47259E+11,NaN,74.2175,2.743557,3.080594
2018/8/8,2779.374,2771.1286,2779.9124,2741.067,2744.0696,14768871500,1.3997E+11,NaN,-35.3044,-1.270228,1.397631
2018/8/9,2744.0696,2729.5787,2801.6592,2726.2153,2794.3818,15166033300,1.5108E+11,NaN,50.3122,1.833488,2.749344
2018/8/10,2794.3818,2791.4018,2806.1149,2777.5061,2795.3099,12153223200,1.23113E+11,NaN,0.9281,0.033213,1.023797
2018/8/13,2795.3099,2769.0166,2789.7983,2742.5599,2785.872,12753224100,1.29461E+11,NaN,-9.4379,-0.337633,1.689916
2018/8/14,2785.872,2780.7357,2789.4437,2766.5693,2780.9646,10957107700,1.12465E+11,NaN,-4.9074,-0.176153,0.821086
2018/8/15,2780.9646,2777.2493,2777.7032,2721.2404,2723.2576,11616178700,1.18708E+11,NaN,-57.707,-2.075071,2.030331
2018/8/16,2723.2576,2691.426,2732.9489,2672.7407,2705.1917,12027787800,1.17581E+11,NaN,-18.0659,-0.663393,2.210889
2018/8/17,2705.1917,2723.8871,2730.3326,2665.5918,2668.966,11244529400,1.15499E+11,NaN,-36.2257,-1.339118,2.393206
2018/8/20,2668.966,2673.0662,2698.4658,2653.1119,2698.4658,11078416400,1.14048E+11,NaN,29.4998,1.105289,1.699306
2018/8/21,2698.4658,2700.3416,2739.1732,2696.2923,2733.8264,11358683900,1.2226E+11,NaN,35.3606,1.310396,1.589084
2018/8/22,2733.8264,2731.9576,2731.9576,2709.0615,2714.6082,9366464000,98463969900,NaN,-19.2182,-0.702978,0.837511
2018/8/23,2714.6082,2714.867,2736.0101,2700.8042,2724.6244,9844647000,1.07826E+11,NaN,10.0162,0.368974,1.296905
